,tweet_id,user,text,retweets,favorites,created_at,location,hashtags
0,1258546828280135680,profabkustoms,I would like to know how many people that had covid got the flu vaccine where are those numbers,296,1398,2020-05-07 23:58:41+00:00,,
1,1258546653318885378,OBrienLouiseM,"Pregnant or given birth in 2020? Or had a pregnancy loss (miscarriage, stillbirth, neonatal/infant death any time in the past? How has Covid-19 impacted your access to healthcare/support networks, sleep and general wellbeing? Women all over the world are eligible! ",15,18,2020-05-07 23:57:59+00:00,,
2,1258545635831111681,CBPMSCounseling,Need A Teacher? We Gotcha Covid. TAW- Goody Drive-Up Crew. #patriotstrong #ourFISDstory,0,11,2020-05-07 23:53:56+00:00,,#patriotstrong #ourFISDstory
3,1258545624791707649,richardursomd,Vitamin D Supplementation Could Possibly Improve Clinical Outcomes of Patients Infected with Coronavirus-2019 (COVID-19) by Mark Alipio :: SSRN https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3571484,20,32,2020-05-07 23:53:54+00:00,,
4,1258545544965746690,ABC7,THANKS DANNY! Danny Trejo helped feed Angelenos in Koreatown by distributing hot meals to those struggling amid the #CoronavirusPandemic,77,444,2020-05-07 23:53:35+00:00,,#CoronavirusPandemic
5,1258545071281979393,KingDick720,If you’re worried about getting Covid 19 just go calm down and have a cigarette. pic.twitter.com/6EBmRiMDHG,0,2,2020-05-07 23:51:42+00:00,,
6,1258544877760962560,M4Mrrrr,Just another day in the life of a rural property appraiser. Looks like if the Covid doesn’t get me appraising might! ,0,9,2020-05-07 23:50:56+00:00,,
7,1258544756277174278,markia_y,Man that damn covid-19 test is the worst fuck what people say they hurt tf out my little nose pic.twitter.com/EHiTOWHZ8M,0,0,2020-05-07 23:50:27+00:00,,
8,1258544210602409984,Latamalera11,Please Covid-19 take golden coral instead of #Souplantation,33,148,2020-05-07 23:48:17+00:00,,#Souplantation
9,1258544191858069504,BommuSanjay,"Doing our part, taking care of one of the worst pain patient experiences. Keeping dental patients our of ER. Battling COVID 19. Please include dentists in #S3599. Save and help Healthcare workforce. @SenatorDurbin @ewarren @EdMarkey @SenAmyKlobuchar @AmerDentalAssn @AGDdentist",8,18,2020-05-07 23:48:12+00:00,,#S3599
10,1258544092864110592,bernabephoto,"If we want to prevent future pandemics like #COVID19, we need to end the illegal wildlife trade.",74,295,2020-05-07 23:47:49+00:00,,#COVID19
11,1258544043773923329,hotdogsladies,Why don't they make the whole plane out of COVID tests?,30,263,2020-05-07 23:47:37+00:00,,
12,1258543423943962624,hasanthehun,"it's absolutely terrifying that there's a significant number of people who legitimately believe that there's a widespread conspiracy of doctors overrepporting covid-19, which completely avoids the 200+% increase in deaths in places like nyc. thanks elon musk for spreading this!!!",1565,14763,2020-05-07 23:45:09+00:00,,
13,1258542553126723585,JohnHamilton44,"I heard from someone today, whose Dad passed away 2 wks ago.He was 85 & had a bowel condition-was given surgery-which was always at his age.He seemed to come through the op okay, but died in his sleep 24 hrs later-despite testing negative for Cov-19-yet Covid the identified cause",29,62,2020-05-07 23:41:41+00:00,,
14,1258542310259736576,Noah_Vandenburg,PSA: Free COVID testing starts the Lodi Public Library. Spread the good word!,49,68,2020-05-07 23:40:44+00:00,,
15,1258541017285844993,CannabisCrooks,This guy has been my covid rock ,0,34,2020-05-07 23:35:35+00:00,,
16,1258540892689817600,DrAlexConcorde,"dralex: BRKG: We now have affordable *reliable *UK COVID-19 ANTIBODY HOME-DRAW KITS, processed by our top UK drs' laboratory. Key Workers get priority/discount. 100% specific. This says if you've had the virus after 14 days PLS RT Let's get things moving! https://www.concorde.clinic/book-COVID-19-antibody-test/",5,6,2020-05-07 23:35:06+00:00,,
17,1258540819864145920,15Ngbets,If Italy are saying 60% of their covid reported deaths have nothing to do with covid... who’s to say our figures are any more accurate ,14,34,2020-05-07 23:34:48+00:00,,
18,1258539685879537665,mouseroaring,The ida that it is suddenly safe to let 2500 US Marines into Darwin is outrageous. THERE IS NO SAFE WAY TO LET COVID INFECTED US MILITARY INTO AUSTRALIA.,195,485,2020-05-07 23:30:18+00:00,,
19,1258539140297093121,andreasharsono,"Governor Anies Baswedan: Jakarta has many more #covid19 cases than the official 414 deaths. A sharp rise in the number of funerals - 4300 services in the second half of March, 4590 in April. Normally 3000 funerals a month",5,19,2020-05-07 23:28:08+00:00,,#covid19
20,1258546075494780928,nuvvaves,aggie ring day: covid-19 edition ,13,199,2020-05-07 23:55:41+00:00,,
21,1258545256322097152,losergalem,you hate to see it thx covid for having me wear an n95 for 8+ hours pic.twitter.com/GlAbwzsiBd,0,8,2020-05-07 23:52:26+00:00,,
22,1258544765265604608,BETTY5128BB,En mode confinement Day 53 J+53 Covid-19 Day 53 #Mood Vendredi 8 mai ,1,2,2020-05-07 23:50:29+00:00,,
23,1258544638719193088,DBelardoMD,"A 94 year old patient just told me she’s “sick of this COVID bullshit” Me too ma’am, me too.",95,1232,2020-05-07 23:49:59+00:00,,
24,1258544577088065536,_hunt_erx,"Apart from ASUU, sickness and COVID-19 which other thing can make you stay at home for more than a month?? @usman_danmaliki @sainahbukar @Dj_Abba @AishaAminuYaka1 @udustweeps @aminuyaro_ @Abdulma75702804",1,4,2020-05-07 23:49:44+00:00,,
25,1258544524336394240,OrgnlMan7,#OAN NEWS NOT AFRAID TO SAY DEEP STATE USING COVID-19 FOR POPULATION CONTROL! #OAN NEWS,7,8,2020-05-07 23:49:31+00:00,,#OAN #OAN
26,1258544489964032001,rashidrock749,"Respected Sir, We Malegaonkar highly appreciated your all the efforts taken to fight against the covid 19 in our state. Sir, Now Malegaon situation is out of control.kindly take it as special case, your cooperation in this regard will be highly appreciated Sir @OfficeofUT",3,5,2020-05-07 23:49:23+00:00,,
27,1258543990690832384,cassdaddyo,#NewProfilePic rosie the riveter says “covid-19 can suck my fat dick” pic.twitter.com/LbWiNHb3WZ,1,20,2020-05-07 23:47:24+00:00,,#NewProfilePic
28,1258543684389224449,zach_wallace_md,An overview ⁦@rheum_covid⁩ wrote about how we got started! An amazing collaboration of the international #rheum community brought together by a pandemic to help answer important questions for our patients and providers.,15,27,2020-05-07 23:46:11+00:00,,#rheum
